"text","word_scores","compound","pos","neu","neg","but_count"
"Cristiano Ronaldo can commandmillion per Instagram post says social media analytics firm

uzmXUqT","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Former rugby player Zane Kilian seemed to be in high spirits as he entered the dock for the next leg of the protracted bail application of alleged underworld kingpin Nafiz Modack and others for cases that include the murder of detective Charl Kinnear 

nbRcrHkzBO","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.7, 0, 0, 0, 0, 0}",-0.691,0,0.901,0.099,0
"Talented loose forward Hacjivah Dayimani has returned to his roots by signing a longterm contract with Western Province Professional Rugby

mOcmbfzel","{2.3, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.25,0.134,0.772,0.093,0
"The mayor of the Thulamela Local Municipality in the Vhembe District of Limpopo has been dismissed for his involvement in the infamous VBS scandal which cost the entity millions of rand

eEVYYKWuAT","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.833, -1.9, 0, 0, 0, 0, 0, 0, 0, 0}",0.447,0.128,0.795,0.077,0
"A PPE company which advertised its stance on vaccination on its building has been slapped with a fine for the unauthorised advert while also being investigated

AxrIKpdCT","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.202,0.065,0.935,0,0
"ANALYSISJustice Chris Jaftas finding that Public Protector Busisiwe Mkhwebane altered the Executive Ethics Code legislation pivotal to the work of her office will only fuel accusations that she is unfit to remain in her position writes 
zMrfDWrG","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.318,0,0.94,0.06,0
"The United States government has announced a U million about Rbn investment plan for Aspen Pharmacare to secure enough vaccines for the African continent

RcNVjOMs","{0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4, 0, 0, 0, 0, 0, 0, 0}",0.637,0.184,0.816,0,0
"More Covid vaccines are expected to be redirected to rural areas in the Western Cape in the coming weeks as the province aims for equitable access to its vaccination rollout programme

GKnSYNce","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The Department of International Relations and Cooperation urged eSwatini activists and political actors to resolve the crisis while the ANC backed calls for multiparty democracy in the country

NbAVicyOG","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6, 0, -3.1, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0}",-0.34,0.109,0.769,0.121,0
"The report was borne from complaints received about a question posed by thenDA leader Mmusi Maimane to Ramaphosa in Parliament in

OoKzROCTD","{0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.402,0,0.886,0.114,0
"CEO Andre Bothma hopes the move will encourage others to get in on the growing market

ENLGFSdDY","{0, 0, 0, 1.8, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0.7, 0, 0}",0.778,0.358,0.642,0,0
"WATCH LIVESEMINAR Harnessing the benefits of a SADC Standby Force in Mozambique

uwRMMxZG","{0, 0, 0, 0, 1.6, 0, 0, 0, 0, 0, 0, 0, 0}",0.382,0.178,0.822,0,0
"Survival experts explain what it would take to survive a building collapse like one in Surfside Florida

LeVHWPbXN","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.2, 1.5, 0, 0, 0, 0, 0}",-0.178,0.115,0.737,0.147,0
"CSA chair Lawson Naidoo would like to see the Proteas leading the global fight against racial discrimination but said the teams kneeling stance must be respected

UcTkaX","{0, 0, 0, 0, 0, 0.75, 0, 0, 0, 0, 0, 0, 0, -0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15, 0}",0.625,0.186,0.757,0.057,1
"South African musician Steve Kekana has died at the age of

EhKhUjpcB","{0, 0, 0, 0, 0, 0, -2.6, 0, 0, 0, 0, 0}",-0.557,0,0.753,0.247,0
"Mop up operations has started across Cape Town after a massive storm wreaked havoc across informal settlements

uueCIXMqlJ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.9, 0, 0, 0, 0}",-0.599,0,0.813,0.187,0
"South Africa is considering buying more AstraZeneca coronavirus vaccines to combat the spread of the Delta variant of the illness four months after selling one million of the doses

dbJOmOS","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.625,0,0.846,0.154,0
"DA leader John Steenhuisen says a cadre of journalists and commentators are suckers for anything that makes the party look just as bad as the ANC

AIRiDyV","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.3, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 1.5, 0, 0, 0, 0}",0.226,0.16,0.738,0.102,0
"President Cyril Ramaphosas lawyer Peter Harris and his former campaign manager Bejani Chauke have welcomed the Constitutional Court judgment saying Ramaphosa has been vindicated

AwHGhkmo","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4, 0, 0, 0, 0, 0, 0, 0, 0, 1.8, 0}",0.637,0.184,0.816,0,0
"Inmates are set to clean the streets of Pietermaritzburg Msunduzi Municipality will sign a memorandum of understanding with the correctional services department on Friday for this to happen

UbaIkTKj","{0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.402,0.088,0.912,0,0
"Reasons employers can require your medical info for vaccine purposes U what you need to know

sjkdAIh","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Medical and legal professionals should be the only ones deciding whether the local government elections should go ahead amid the Covid pandemic because political parties have a vested interest African Content Movement leader Hlaudi Motsoeneng has said
HAruwXJbd","{0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0.6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.778,0.206,0.794,0,0
"Former ANC councillor in the Nelson Mandela Bay municipality Andile Lungisa is calling for a nationwide shutdown in support of former president Jacob Zuma

qcJWTmRgP","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0}",0.402,0.101,0.899,0,0
"Agri SA executive director Christo van der Rheede says vaccination for the agriculture sector is crucial to avoid a mass pandemic outbreak in the sector

hEolDEzjc","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.919,0.081,0
"Covid cases in the Western Cape have surpassed the number of infections recorded in the province during the first Covid wave

uJyLWbhJ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.077,0.058,0.942,0,0
"Veli Mashinini is back behind bars this week after the Magistrates Court convicted him of stock theftwhile out on parole for having committed the same crime previously

UFgjmwleN","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1, 0, 0, -2.5, 0, 0}",-0.34,0.066,0.823,0.111,0
"Calvin Fisher dissects the lengthy name of ChinaUs best bakkie And he also drives it

sRwmuIb","{0, 0, 0, 0, 0, 0, 0, 0, 3.2, 0, 0, 0, 0, 0, 0, 0}",0.637,0.219,0.781,0,0
"Former Kaizer Chiefs midfielder Reneilwe Yeye Letsholonyane has officially retired from football at the age of

UxLqKSGt","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Afterdays in hospitalof which were spent in ICU Orient Heights resident Ally Khan finally went home on Wednesday

SsVTlzvC","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"OPINIONContrary to popular opinion the ruling does not pose a challenge for the country but rather for the ANC which has to choose between what is right for the country and pandering to the whims of its warring factions writes

QRVsFW","{0, 0, 0.9, 0, 0, 0, 0, 0, 0, 0, -0.111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.85, 0, 0, 0}",-0.47,0.042,0.847,0.111,1
"Businesses on Cape Towns iconic Long Street fear the latest lockdown will turn the stretch into a ghost town Several businesses have been forced to adjust to the new stricter regulations while others have opted to remain closed for the duration

TveDObIx","{0, 0, 0, 0, 0, 0, 0, -2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.818,0,0.821,0.179,0
"Greyling said the gross national happiness index which measures the mood of South Africans showed the nation had experienced considerable mood swings in the last few days of June

jJYOgPRf","{0, 0, 0, -2.1, 0, 2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.128,0.104,0.807,0.089,0
"Billions of rands that investors have lost to cryptocurrency scams like the Cajee brothers Africrypt and Mirror Trading International have the government worried about how vulnerable South Africans are as digital currencies take over the world

cURxXgfp","{0, 0, 0, 0, 0, 0, -1.3, 0, 0, -2.8, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, -0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.772,0.056,0.716,0.228,0
"Kaizer Chiefs have announced on Thursday morning the appointment of Kaizer Motaung Jr as the clubs sporting director

YquHiXIFL","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The Constitutional Court has found that President Cyril Ramaphosa neither wilfully mislead Parliament about a Rdonation from Bosasa CEO Gavin Watson nor did he personally benefit from donations made to his CR campaign for the ANC presidency

CqvZhLwbo","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.459,0.075,0.925,0,0
"Jamie Spears father of Britney Spears has asked for an investigation of the pop superstars claims that she had been mistreated under a legal conservatorship

aErHMhj","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0}",0.128,0.057,0.943,0,0
"The donations to the CR campaign became a point of contention in the ANC with Cyril Ramaphosas detractors saying to his face in party meetings that he Ubought his Presidency writes

LSBZKfslq","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0}",0.402,0.08,0.92,0,0
"Addressing the CaboDelgado crisis what are the prospectsoptions for SADCUs Standby Force in Mozambique 

Seminar with speakers Dr Agostinho Zacarias Martin EwiProf Abel Esterhuyse

 Julypm
RSVPGotMZxVM","{0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.625,0,0.859,0.141,0
"Junior doctors who have been awaiting placement at public health facilities for mandatory internships are losing patience with the national Department of Health

HGeMIkLC","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, -1.6, 0, 0, 0, 0, 0, 0, 0, 0}",-0.318,0.05,0.849,0.1,0
"LIVECovid Aspen to receive U million longterm loan as part of Africa vaccine support

NSqOjTeW","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0}",0.402,0.162,0.838,0,0
"The AuditorGeneral has slammed a deliberate lack of accountability by political and administrative leadership in the Free State whosemunicipalities owe Eskom and local water boards more than R billion

lnyczxu","{0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.25,0.098,0.833,0.068,0
"The late Proteas team manager Goolam Rajah didnt come across many players of colour in the national team in the suntil Makhaya Ntini made his presence felt in Australia in

mYrogNBPw","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"LIVECovid Media briefing on US support for vaccine manufacturing and production in Africa

udGMmMqu","{0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0}",0.402,0.172,0.828,0,0
"JUST IN
ConCourt dismisseschallenge to the invalidation of her report on President Ramaphosas CR campaign finances 
Chief Justice Mogoeng dissentsand finds that Ramaphosa does have duty to disclose his donors","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.527,0.105,0.895,0,0
"India has signalled alarm over Delta Plus which is closely related to the Delta variant of concern that has spread worldwide HereUs what we know

agrIkqDgc","{0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.34,0,0.912,0.088,0
"LIVEConCourt majority finds that Mkhwebane had no authority to order the NDPP to investigate prima facie of evidence of moneylaundering in the CR campaign Nor could she order the Speaker to order Ramaphosa to disclose his donors

NRnrPobkd","{0, 0, 0, 0, 0, 0, 0, -0.222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.057,0,0.968,0.032,0
"The home of an Msunduzi Municipality official had been bombed and he is receiving threatening phone calls daily

aqfkZFbOkN","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0}",-0.527,0,0.841,0.159,0
"Honolulu prosecutor Steve Alm has reportedly said that an investigation found police were justified in their actions when they shot dead SAborn rugby player Lindani Myeni 

NxSEpsPz","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, -3.3, 0, 0, 0, 0, 0, 0}",-0.382,0.084,0.781,0.134,0
"LIVERamaphosa did not willfully mislead parliament nor personally benefit from CR moneyJustice Chris Jafta

YuvYPLA","{0, 0, 0, 0, 0, 0, 0, 0, -1.48, 0, 0, 0, 0, 0, 0}",-0.357,0,0.85,0.15,0
"LIVE ConCourt Ramaphosa did not lie to Parliament about Watson CR donation

NBkrEMGgW","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The Western Cape High Court found in favour of a Cape Town man who was paralysed in an assaultyears ago Andrew Merryweather was injured during an altercation at a Newlands petrol station in

IRHRXAaB","{0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.052,0.077,0.851,0.072,0
"Eskom South AfricaUs state power utility needsbillion about R billion to shut most of its coalfired plants bya company official said

FucKKGd","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"While some franchise sectors are seeing a return to prepandemic levels of income the hardesthit are struggling to recover according to a new report

SXeIkG","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, 0, 0, 0, 0, 0, 0, 0}",-0.421,0,0.896,0.104,0
"levellockdown This is Thawe Nkovore manager of Cappello He told me before the new regulations they were trying to make up the losses from last years hard lockdown He spends his days handing out brochures about the restaurants specialsqHjYAjeH","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, -0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.477,0,0.9,0.1,0
"levellockdown Newly elected chairperson of the Long Street Association Giancarlo Bruno tells me plans were afoot to revitalise the entertainment strip but now plans have been stopped due to the new imposed lockdown restrictionsjIdvnMiX","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0, 0, 0, -1.35, 0, 0, 0, 0, -0.45, 0, 0}",-0.226,0.052,0.845,0.104,1
"levellockdown Businesses in Cape Towns oncethriving entertainment strip Long Street are not coping under the current adjusted lockdown regulations With some saying itUs only a matter of time more businesses throw in the towelzJrOXeao","{0, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0}",0.44,0.109,0.891,0,0
"WATCH LIVERamaphosas DDay ConCourt delivers judgment on CR donations Follow it live on News

wmAfqK","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The new coronavirus variant which was first identified and caused devastation in India has been found in patients in the Harry Gwala eThekwini Zululand King Cetswayo Ugu and ILembe districts

UDmEjvVPO","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.421,0,0.915,0.085,0
"The Constitutional Court will rule whether President Cyril Ramaphosa misled Parliament with regard to donations made to the CR campaign and whether the Public Protector had the scope to investigate the matter in the first place

yyEDiHrx","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0}",0.026,0.03,0.97,0,0
"Bail has been granted to the eight men accused of the murder of two men and the attempted murder of another on the farm Pampoenkraal in eMkhondo Mpumalanga onAugust

vLuIRquLxU","{0, 0, 0, 1, 0, 0, 0, 0, -1.2, 0, 0, -3.7, 0, 0, 0, 0, 0, 0, -3.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.891,0.051,0.657,0.293,0
"Thursday is finally the start of Covid vaccination registrations for thetoage group

CYCuSieIBh","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"There is a lot less fake money in SA U but that probably wonUt last

RSZWlKvIJU","{0, 0, 0, 0, 0, -0.9035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.227,0,0.887,0.113,1
"It was a quiet day outside the Nkandla homestead of convicted former president Jacob Zuma as the countdown to his prison sentence begins

PGxxgwBU","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.3, 0.3, 0, 0}",-0.459,0.049,0.827,0.124,0
"The Department of Basic Education says the health department has vaccinatedteachers and support staff but the programme is seemingly experiencing glitches along the way

GDlgY","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.214,0.072,0.928,0,1
"KwaZuluNatal will be cracking down on Covid rulebreakers using roadblocks raids on illegal liquor traders and increased surveillance points of entry

SIVdBiclU","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.6, 0, 0, 0, 1.1, 0, 0, 0, 0, 0}",-0.361,0.082,0.778,0.14,0
"South Africa has passed the threemillion mark in its Covid vaccination programme

gjLoxEUD","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"What was supposed to be a regular dropandgo situation for taxi driver Maqawe UMikeU Mpabanga turned into the ride of his life

ghDTA","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Rugby World Cup winners South Africa will endmonths of international isolation on Friday when they host Georgia in a warmup match before a threeTest series against the British and Irish Lions

gEBGCnjv","{0, 0, 0, 2.1, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.202,0.124,0.801,0.075,0
"After former president Jacob Zuma was sentenced by the Constitutional Court to an effectivemonths for defying its order to appear before the Zondo Commission his ardent supporters were at it again with the usual question What about De Klerk

bzFnrYwQ","{0, 0, 0, 0, 0, 0, -0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.71,0.136,0.839,0.025,0
"The latest AuditorGeneral report into municipal finances paints a grim picture of collapse and mismanagement

RzODhRwjy","{0, 0, 0, 0, 0, 0, 0, 0, 0, -2.7, 0, 0, -2.2, 0, 0, 0}",-0.785,0,0.67,0.33,0
"With the highly infectious Delta variant becoming dominant in South Africa the health department says there is no data yet to assess the efficacy of the JohnsonJohnson vaccine against it

FUzbwDTIO","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.932,0.068,0
"African People Mover went to the High Court in a bid to have its business rescue proceed as Standard Bank and MercedesBenz are opposing the bid

tmyMMgVVK","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.511,0.113,0.887,0,0
"The Jacob Zuma Foundation has labelled a judgment that found the former president in contempt of court judicially emotional and angry as well as not consistent with our Constitution

Xebkxp","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.8, 0, 0, 0, 0.6, 0, -2.3, 0, 1.1, 0, 0, 0, 0, 0, 0, 0}",-0.66,0.101,0.707,0.193,0
"Despite the hype on social media the proZuma and antilockdown protests in Durban were a bust with justpeople arriving for the marches

qNfPEOhC","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.226,0,0.921,0.079,0
"The lawyer representing former minister Malusi Gigaba has accused Norma Mngoma of trying to falsely implicate his client in wrongdoing

TCgqBUwLFf","{0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.901,0.099,0
"For more than three years the donations made to the CR campaign of President Cyril Ramaphosa cast a shadow on his presidency and how he emerged victorious at the ANCsNasrec conference

GLuGHFzZa","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"gmdJVBSFka","{0}",0,0,1,0,0
"XXOVpRAKDG","{0}",0,0,1,0,0
"gmdJVBBVA","{0}",0,0,1,0,0
"zPJcqHz","{0}",0,0,1,0,0
"LOPGDltR","{0}",0,0,1,0,0
"VZMdfDPVeY","{0}",0,0,1,0,0
"bfkmwS","{0}",0,0,1,0,0
"ndOCUBHr","{0}",0,0,1,0,0
"wgXlEykYs","{0}",0,0,1,0,0
"yaDliXlow","{0}",0,0,1,0,0
"Pennsylvanias highest court on Wednesday overturned Bill Cosbys sexual assault conviction and ordered him released from prison immediately

QpSeddTEty","{0, 0, 0, 0, 0, 0, 0, 0, 0, -2.8, 0, 0, 0, 0, 0, 0, -2.3, 0, 0}",-0.796,0,0.705,0.295,0
