"text","word_scores","compound","pos","neu","neg","but_count"
"Saturdays tour match between the Bulls and BritishIrish Lions at Loftus is reportedly in doubt due to Covid cases in the Bulls camp","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0}",-0.361,0,0.898,0.102,0
"South Africa’s tavern owners have joined the liquor industry’s calls for relief urging province authorities to waive annual licence fees for retailers and for traders to be allowed to sell alcohol for home consumption","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.477,0.086,0.914,0,0
"Religious organisations in KwaZuluNatal have urged worshippers across the country to comply with the stricter lockdown restrictions","{0, 0, 0, 0, 0, 0, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.202,0.101,0.899,0,0
"They have wowed audiences on the big screen with their awardwinning performances but these actors can also drive race cars in real life","{0, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.318,0.095,0.905,0,1
"Violence monitor Mary de Haas has praised the police’s handling of the volatile situation in Nkandla","{-3.1, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.226,0.15,0.657,0.192,0
"The uMkhonto weSizwe military veterans who are currently camping outside former president Jacob Zumas Nkandla homestead on Tuesday continued to ignore the directive from the ANC to disband the MK excombatants leadership structures","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.361,0,0.928,0.072,0
"Simplifying the POPI Act – This is how it is going to change your life","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"LIVEDu Plessis this court cannot come to Mr Zumas aid Mr Zuma has no prospects of success in his rescission application","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.888, 0, 2.7, 0, 0, 0, 0}",0.424,0.15,0.773,0.077,0
"The rescission of the Constitutional Courts contempt judgment is an extraordinary one and should not be taken lightly former president Jacob Zumas advocate Dali Mpofu SC told the KwaZuluNatal High Court in Pietermaritzburg on Tuesday","{0, 0, 0, 0, 0, 0, -2.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.586,0,0.899,0.101,0
"Bessie Head’s novels play out in eastern Botswana where she settled down to write But why did she write and why is her journalism unjustly neglected","{0, 0, 0, 0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.6}",-0.599,0.056,0.792,0.152,1
"The National Prosecuting Authority had backtracked on its statement that Interpol had issued red notices for the Gupta family","{0, 0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.077,0.067,0.933,0,0
"LIVEDu Plessis Mr Zuma made his own prison bed he must now lie in in it He is not entitled to special treatment he adds","{0, 0, 0, 0, 0, 0, 0, -2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.814, 0, -1.258, 0, 0, 0}",-0.749,0,0.749,0.251,0
"The second episode in thevaccine information series Cheleka Mpande sums up what vaccines do and how they work in the human body","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"LIVENgcukaitobi Zuma a serial recalcitrant lawbreaker whose application should fail and he should pay costs","{0, 0, 0, 0, 0, 0, 0, 0, 0, -2.5, 0, 0, 0, -0.4, 0}",-0.599,0,0.726,0.274,0
"Tropical storm Elsa was moving over the Florida Straits toward the southern US state on Tuesday after battering Cuba with drenching rain and strong winds but left the Caribbean island without major damage","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15, 0, 0, 0, 0, 0, 0, 0, 0, 2.76723}",0.711,0.16,0.84,0,1
"LIVENgcukaitobi slams Cele letter to the ConCourt as nonsensical says Zuma arrest order remains operative","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0}",-0.34,0,0.854,0.146,0
"Ngcukaitobi says Police Minister Celes letter to the ConCourtin which he said police would hold off on arresting Jacob Zuma until his contempt challenge was finalisedwas nonsensical He says the police remain bound by the ConCourts order to arrest Zuma by midnight tmw","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.8, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0}",-0.71,0.027,0.842,0.131,0
"LIVENgcukaitobi says Zuma has been expressly invited by the Inquiry to approach the Constitutional Court for a stay of the execution of the committal orders against him He has not done so the advocate says","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"A major corruption case hasnt been prosecuted in South Africa in the pastyears This resulted in a lack of experience building in the NPA ID head Hermione Cronje said","{0, 0, 0, 0, 0, 0, 1.184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.03,0.069,0.858,0.073,0
"The Hawks are in the process of collecting witness and bank statements from foreign countries under mutual legal assistance compacts in the states longrunning criminal probe of retailer Steinhoff","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0}",-0.44,0.047,0.846,0.107,0
"The Cape Town International Convention Centre will open as a mass Covid vaccination site on Wednesday The partnership with Discovery Health hopes to seepeople vaccinated a day","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0}",0.421,0.097,0.903,0,0
"LiveIf Zuma does not present himself to the authorities by tomorrow the police must arrest him Ngcukaitobi states before stressing that the High Court cannot interfere in this","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0}",-0.599,0,0.841,0.159,0
"A Department of Health circular that would have seen ministers and their staff jumping the queue and getting the Covid jab before their age cohort has been withdrawn","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The Council for GeoScience in South Africa has confirmed that it recorded an earthquake on Tuesday in the Northern Cape A seismic event with a magnitude ofhit Springbok and surrounding areas in the early hours of Tuesday morning","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The DA is calling for the SAPS to firecops found guilty of serious offences during internal disciplinary processes over the past three years","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, -0.3, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.67,0,0.755,0.245,0
"The year legal battle of a Cape Town man who was paralysed in a brawl has finally come to an end and he says he is looking forward to closing that chapter of his life","{0, 0, 0.5, -1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.273,0.04,0.889,0.07,0
"OPINIONGovernment seems to have ranked lives ahead of livelihoods during Adjusted Lockdown LevelIt doesnt have to be a choice says","{0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.226,0.091,0.909,0,0
"A yearold Western Cape woman and her yearold daughter have received their Covid vaccine jabs – thanks to their neighbour","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0}",0.44,0.132,0.868,0,0
"As Covid vaccine inequality becomes more glaring the knockon effect is expected to have a devastating impact on the tourism sectors of many African countries","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.3, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.649,0,0.848,0.152,0
"Warning against premature rush back to normality comes amid rising concerns over spread of Delta variant of coronavirus","{-1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.34,0,0.876,0.124,0
"You can now leave Gauteng to hunt – as long as it is for meat","{0, 0, 0, -0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.052,0,0.921,0.079,0
"British Airways has settled a case brought by customers and staff affected by a massivedata breach that led to personal information being leaked the courtappointed lead solicitors in the case said on Tuesday","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.44,0,0.888,0.112,0
"LIVEMpofu describes arrest as the most egregious invasion of a persons dignity and privacy","{0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0}",0.077,0.158,0.702,0.14,0
"Delft community activist and founder of the Makaula Foundation Sisa Makaula has used his experience as a victim of crime to make positive changes in his community","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, -2.5, 0, 0, 2.6, 0, 0, 0, 0}",-0.25,0.108,0.723,0.169,0
"The ANC plans to initiate disciplinary action against the organisers responsible for the incitement of violence and defiance of Covid regulations as reported in Nkandla at the weekend","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.421,0.071,0.802,0.127,0
"LIVEMpofu argues High Court has jurisdiction to grant interim interdict to stay execution of Zuma arrest","{0, -1.6, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, -1.4}",-0.361,0.122,0.634,0.244,0
"LIVEMpofu now argues that Zumas application for a rescission of the Constitutional Courts contempt judgment against himand the month jail term imposed on himis an extraordinary one and cannot be taken lightly","{0, 0, -1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.8, 0, 0, 0, 0, 0, 0, 0, -0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.772,0,0.79,0.21,0
"The Springboks have postponed Tuesdays planned announcement of their side to play against Georgia in Johannesburg this Friday following further Covid testing","{0, 0, 0, -0.8, 0, 0, 0, 0, 0, 0, 0, 1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.153,0.099,0.826,0.074,0
"Muddy trails can easily be ruined by you And they can ruin your bike too There is a cheap fix to make your winter riding a lot more fun","{0, 0, 0, 1.4, 0, -2.1, 0, 0, 0, 0, 0, -2.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.593}",-0.228,0.158,0.66,0.182,0
"Delta variant in Israel has meant the return of some restrictions","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The Inquiry invited former President Zuma to go to the ConCourt to stay the execution of the arrest orders issued against him It even said its opposition to the stay in the High Court might be reconsidered if Zuma did this His legal team chose not to take up that invitation","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0}",-0.226,0.028,0.926,0.045,0
"State Attorney Johan van Schalkwyk says the Constitutional Courts order on former president Jacob Zumas arrest stands","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0}",-0.34,0,0.87,0.13,0
"A portion of Church Street in Pietermaritzburg was closed off after a group of former president Jacob Zuma’s supporters turned up for his hearing at the KwaZuluNatal High Court on Tuesday midmorning","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.44,0.086,0.914,0,0
"Both the N and R near Hibberdene on the KZN South Coast are currently closed due to protest action According to sources residents in Hibberdene Pumula and Umzumbe are protesting against water shortages in the area","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, 0, -0.6, 0, 0, 0}",-0.66,0,0.838,0.162,0
"LIVEMpofu argues that law enforcement agencies have not opposed Zumas applications for a stay of his arrestas well as his bid to rescind the contempt ruling against himbecause of understandable concerns about potential social unrest","{0, -1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1, 0, 0, 0, 0, 0, 0, -2.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.649,0.052,0.79,0.158,0
"Gauteng police have launched a manhunt for a group of at leastrobbers following a cashintransit heist in Johannesburg on Monday night","{0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.128,0.07,0.93,0,0
"LIVEThe Inquiry stresses that the High Court cant stay the execution of a ConCourt order and have urged Zuma to go to the apex court to seek this relief Zuma however has not heeded that invitation","{0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1, 0, 0, 0, 0, 0, 0, 0}",0.026,0.077,0.848,0.075,0
"AngloGold Ashanti has announced the appointment of a new CEO Alberto Calderon nearly a year after the abrupt resignation of its previous boss Kelvin Dushnisky","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0}",-0.296,0,0.916,0.084,0
"LIVEMpofu slams the commission and Helen Suzman Foundation as uninvited busybodies who have no business getting involved in Zumas application to stay the orders for his arrest and imprisonment","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0}",-0.557,0,0.854,0.146,0
"Proteas paceman Sisanda Magala has been ruled out of South Africas tour to Ireland with the first ODI starting this weekend","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"A small contingent of Zuma supporters have arrived outside the High Court in Pietermaritzburg ahead of Jacob Zuma’s urgent application to have his arrest blocked","{0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 0, 0, 0, 0, -1.4, -1.1}",0.052,0.156,0.695,0.149,0
"Scenes outside the KwaZuluNatal division of the High Court in Pietermaritzburg are quiet as Jacob Zuma awaits to hear his urgent application to block his imminent arrest JacobZuma","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0.8, 0, 0, -1.9, 0, 0, -1.4, 0}",-0.494,0.096,0.741,0.164,0
"At the weekend a train withwagons carrying export coal to Richards Bay derailed near Vryheid KwaZuluNatal Transnet confirmed on Tuesday Thirty wagons went off the tracks","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.34,0,0.912,0.088,0
"WATCH LIVEFormer president JacobZuma turns to Pietermaritzburg High Court to block his arrest Follow it live on News","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.9, 0, -1.4, 0, 0, 0, 0, 0}",-0.649,0,0.751,0.249,0
"People living on a property formerly leased to the South African National Circus School in Observatory have lost a court bid to have some details of the City of Cape Towns housing report excluded from the record","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0}",-0.572,0,0.882,0.118,0
"As LockdownSA restrictions tighten some people may be stuck home with an abuser This datafree link will point you to SGBV services near you Here’s how it works","{0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.681,0,0.823,0.177,0
"Disgraced bitcoin trading platform MTI has been placed into final liquidation by an order of the Western Cape High Court","{-2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.459,0,0.864,0.136,0
"Governments latest wage offer to civil servants is asalary hike and includes a monthly Rcash allowance","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Here’s the form to use if you aren’tyet but really need a Covid vaccine","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,1
"In a twopart series Country Medical Director at Pfizer South Africa Dr Bha NdunganeTlakula answers key questions about the PfizerBioNTech Covid vaccine","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"TAKE A LOOKSA’s first electric bus has started carrying passengers","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"FRESH DEVELOPMENTS Saps patrolling around Nkandla in KZN to ensure no chaos erupts today Zuma bodyguards have also been spotted inside Nkandla","{2.033, 0, 0, 0, 0, 0, 0, 0, 0, 1.6, 0, 1.998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.824,0.312,0.688,0,0
"Government departments owe KwaZuluNatal municipalities R billion in rates and services","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"LIVEANC leadership says it will defend the Constitution launches investigation into events at Nkandla","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"WATCH LIVEJessie Duarte briefs media on special ANC NEC meeting held in wake of Zuma prison sentence Follow it live on News","{0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, -2.3, 0.3, 0, 0, 0, 0, 0}",-0.077,0.152,0.722,0.125,0
"Jacob Zumas former spokesperson Mac Maharaj has called on him to abide by the Constitutional Courts ruling","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"A mission from the Southern African Development Community will return to Eswatini Prodemocracy groups criticised the missions weekend visit for failing to meet with them","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, 0, 0, 0, 0, -2.3, 0, 0, 0, 0}",-0.727,0,0.79,0.21,0
"There is a spike in Covid hospital admissions in the Western Cape as cases increase But contingency plans are in place according to Mark van der Heever spokesperson for the provincial health department","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.166,0.049,0.951,0,1
"While government is set to meet unions in a makeorbreak meeting on Tuesday the public service wage battle dates back years","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, 0}",-0.382,0,0.885,0.115,0
"Bill Harrop has died of Covid complications only a week after his wife Mary","{0, 0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.557,0,0.783,0.217,0
"A company owned by the UK govt is pumping Rm into lowerend housing mostly in Johannesburg","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Municipal workers in Msunduzi are gearing up for a strike after salary and wage negotiations collapsed of Friday","{0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5, 0, 0, 0, 0, 0, -1.1, 0, 0}",-0.382,0,0.816,0.184,0
"unemployeddocsinSA The letter also said the placement of medical interns had caused severe prejudice in that they are unable to look after themselves and their families and they are also unable to service their student debtsloan","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, -2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.71,0,0.852,0.148,0
"unemployeddocsinSA A letter of demand sent by Mabuza Attorneys on behalf ofdoctors gives a timeline for how long doctors have been waiting for placements Placements were supposed to be finalized byJuly","{0, 0, 0, 0, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.128,0,0.952,0.048,0
"Surging demand and prices for commodities including platinumgroup metals iron ore manganese and coal are generating record miningcompany profits and bolstering SA government revenue","{0, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0}",0.34,0.11,0.833,0.057,0
"OPINIONZuma too is pushing his own version of The Big Lie writes journalistIts the same lie that he has been driving for decades now That he is a victim of the courts and a grand conspiracy","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, 0, 0, 0, 0, 2, -2.4}",-0.361,0.072,0.795,0.133,0
"South African cyclist Nicholas Dlamini says he was driven by the hope of inspiring future stars after he crashed out of the Tour de France","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.691,0.199,0.801,0,0
"Healthcare was interrupted on Monday as angry protesters barricaded the entrance to Greytown Hospital with burning tyres","{0, 0, -1.2, 0, 0, 0, -2.3, -0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.751,0,0.654,0.346,0
